Compound,Temperature,pH,Solvent 1,Base,Chelator,Chelator_amount,Pd_removal_efficiency
Palladium(II) acetate,40,9.86,Cyclopentyl methyl ether,Potassium carbonate,N-acetyl cysteine,5,0.982853224
Palladium(II) acetate,40,12.45,Cyclopentyl methyl ether,Potassium hydroxide,N-acetyl cysteine,5,0.982853224
Palladium(II) acetate,40,9.50,2-methyltetrahydrofuran,Potassium phosphate tribasic,N-acetyl cysteine,10,0.983355526
Palladium(II) acetate,40,8.37,2-methyltetrahydrofuran,Potassium bicarbonate,N-acetyl cysteine,10,0.983355526
Palladium(II) acetate,40,9.79,2-methyltetrahydrofuran,Potassium carbonate,N-acetyl cysteine,10,0.983355526
Palladium(II) acetate,40,12.81,2-methyltetrahydrofuran,Potassium hydroxide,N-acetyl cysteine,10,0.983355526
Palladium(II) acetate,40,9.50,Toluene,Potassium phosphate tribasic,N-acetyl cysteine,10,0.982431483
Palladium(II) acetate,40,8.37,Toluene,Potassium bicarbonate,N-acetyl cysteine,10,0.982431483
Palladium(II) acetate,40,9.79,Toluene,Potassium carbonate,N-acetyl cysteine,10,0.982431483
Palladium(II) acetate,40,12.81,Toluene,Potassium hydroxide,N-acetyl cysteine,10,0.982431483
Palladium(II) acetate,40,9.50,Ethyl acetate,Potassium phosphate tribasic,N-acetyl cysteine,10,0.982517483
Palladium(II) acetate,40,8.37,Ethyl acetate,Potassium bicarbonate,N-acetyl cysteine,10,0.982517483
Palladium(II) acetate,40,9.79,Ethyl acetate,Potassium carbonate,N-acetyl cysteine,10,0.982517483
Palladium(II) acetate,40,12.81,Ethyl acetate,Potassium hydroxide,N-acetyl cysteine,10,0.982517483
Palladium(II) acetate,40,9.50,Methyl isobutyl ketone,Potassium phosphate tribasic,N-acetyl cysteine,10,0.983128058
Palladium(II) acetate,40,8.37,Methyl isobutyl ketone,Potassium bicarbonate,N-acetyl cysteine,10,0.983128058
Palladium(II) acetate,40,9.79,Methyl isobutyl ketone,Potassium carbonate,N-acetyl cysteine,10,0.983128058
Palladium(II) acetate,40,12.81,Methyl isobutyl ketone,Potassium hydroxide,N-acetyl cysteine,10,0.983128058
